Date,Open,High,Low,Close,Volume
2019-12-02,66.817497,67.0625,65.862503,66.040001,94487200
2019-12-03,64.577499,64.8825,64.072502,64.862503,114430400
2019-12-04,65.267502,65.827499,65.169998,65.434998,67181600
2019-12-05,65.947502,66.472504,65.682503,66.394997,74424400
2019-12-06,66.870003,67.75,66.824997,67.677498,106075600
2019-12-09,67.5,67.699997,66.227501,66.730003,128042400
2019-12-10,67.150002,67.517502,66.464996,67.120003,90420400
2019-12-11,67.202499,67.775002,67.125,67.692497,78756800
2019-12-12,66.945,68.139999,66.830002,67.864998,137310400
2019-12-13,67.864998,68.824997,67.732498,68.787498,133587600
2019-12-16,69.25,70.197502,69.245003,69.964996,128186000
2019-12-17,69.892502,70.442497,69.699997,70.102501,114158400
2019-12-18,69.949997,70.474998,69.779999,69.934998,116028400
2019-12-19,69.875,70.294998,69.737503,70.004997,98369200
2019-12-20,70.557503,70.662498,69.639999,69.860001,275978000
2019-12-23,70.1325,71.0625,70.092499,71.0,98572000
2019-12-24,71.172501,71.222504,70.730003,71.067497,48478800
2019-12-26,71.205002,72.495003,71.175003,72.477501,93121200
2019-12-27,72.779999,73.4925,72.029999,72.449997,146266000
2019-12-30,72.364998,73.172501,71.305,72.879997,144114400
2019-12-31,72.482498,73.419998,72.379997,73.412498,100805600
2020-01-02,74.059998,75.150002,73.797501,75.087502,135480400
2020-01-03,74.287498,75.144997,74.125,74.357498,146322800
2020-01-06,73.447502,74.989998,73.1875,74.949997,118387200
2020-01-07,74.959999,75.224998,74.370003,74.597504,108872000
2020-01-08,74.290001,76.110001,74.290001,75.797501,132079200
2020-01-09,76.809998,77.607498,76.550003,77.407501,170108400
2020-01-10,77.650002,78.167503,77.0625,77.582497,140644800
2020-01-13,77.910004,79.267502,77.787498,79.239998,121532000
2020-01-14,79.175003,79.392502,78.042503,78.169998,161954400
2020-01-15,77.962502,78.875,77.387497,77.834999,121923600
2020-01-16,78.397499,78.925003,78.022499,78.809998,108829200
2020-01-17,79.067497,79.684998,78.75,79.682503,137816400
2020-01-21,79.297501,79.754997,79.0,79.142502,110843200
2020-01-22,79.644997,79.997498,79.327499,79.425003,101832400
2020-01-23,79.480003,79.889999,78.912498,79.807503,104472000
2020-01-24,80.0625,80.832497,79.379997,79.577499,146537600
2020-01-27,77.514999,77.942497,76.220001,77.237503,161940000
2020-01-28,78.150002,79.599998,78.047501,79.422501,162234000
2020-01-29,81.112503,81.962502,80.345001,81.084999,216229200
2020-01-30,80.135002,81.022499,79.6875,80.967499,126743200
2020-01-31,80.232498,80.669998,77.072502,77.377502,199588400
2020-02-03,76.074997,78.372498,75.555,77.165001,173788400
2020-02-04,78.827499,79.910004,78.407501,79.712502,136616400
2020-02-05,80.879997,81.190002,79.737503,80.362503,118826800
2020-02-06,80.642502,81.305,80.065002,81.302498,105425600
2020-02-07,80.592499,80.849998,79.5,80.0075,117684000
2020-02-10,78.544998,80.387497,78.462502,80.387497,109348800
2020-02-11,80.900002,80.974998,79.677498,79.902496,94323200
2020-02-12,80.3675,81.805,80.3675,81.800003,113730400
2020-02-13,81.047501,81.555,80.837502,81.217499,94747600
2020-02-14,81.184998,81.495003,80.712502,81.237503,80113600
2020-02-18,78.839996,79.9375,78.652496,79.75,152531200
2020-02-19,80.0,81.142502,80.0,80.904999,93984000
2020-02-20,80.657501,81.162498,79.552498,80.074997,100566000
2020-02-21,79.654999,80.112503,77.625,78.262497,129554000
2020-02-24,74.315002,76.044998,72.307503,74.544998,222195200
2020-02-25,75.237503,75.6325,71.532501,72.019997,230673600
